name,code,state,city,latitude,longitude
Kanpur Anwarganj,CPA,Uttar Pradesh,Kanpur,26.478,80.3319
Unchahar Junction,UCR,Uttar Pradesh,Unchahar,26.347,80.459
Rae Bareli Junction,RBL,Uttar Pradesh,Rae Bareli,26.223,81.233
Pratapgarh Junction,PBH,Uttar Pradesh,Pratapgarh,25.8969,81.9428
Janghai Junction,JGJ,Uttar Pradesh,Janghai,26.2642,82.6739
Zamania,ZNA,Uttar Pradesh,Zamania,25.419,83.56
Gyanpur Road,GYR,Uttar Pradesh,Gyanpur,25.334,82.971
Mau Junction,MAU,Uttar Pradesh,Mau,25.9417,83.5611
Azamgarh,AMH,Uttar Pradesh,Azamgarh,26.0685,83.1836
Ballia,BUI,Uttar Pradesh,Ballia,25.7661,84.1499
Ghazipur City,GCT,Uttar Pradesh,Ghazipur,25.5881,83.578
Chhapra Kacheri,CPK,Uttar Pradesh,Chhapra,25.784,84.745
Pilibhit Junction,PBE,Uttar Pradesh,Pilibhit,28.63,79.804
Mailani Junction,MLN,Uttar Pradesh,Mailani,28.294,80.316
Lakhimpur,LMP,Uttar Pradesh,Lakhimpur Kheri,27.944,80.778
Khurja Junction,KRJ,Uttar Pradesh,Khurja,28.2516,77.857
Bulandshahr,BSC,Uttar Pradesh,Bulandshahr,28.407,77.8498
Hapur,HPU,Uttar Pradesh,Hapur,28.729,77.776
Bijwasan,BJW,Delhi,Delhi,28.507,77.082
Patel Nagar,PTNR,Delhi,Delhi,28.659,77.173
Kirti Nagar,KRTI,Delhi,Delhi,28.652,77.143
Naraina Vihar,NRVR,Delhi,Delhi,28.622,77.128
Delhi Indrapuri,DINR,Delhi,Delhi,28.684,77.112
Dayabasti,DYBH,Delhi,Delhi,28.671,77.214
Shivaji Bridge,CSB,Delhi,Delhi,28.639,77.243
Pragati Maidan,PRGD,Delhi,Delhi,28.615,77.246
Lodhi Colony,LDCY,Delhi,Delhi,28.592,77.236
Chanakyapuri,CPUR,Delhi,Delhi,28.597,77.184
Sarojini Nagar,SOJ,Delhi,Delhi,28.575,77.202
Delhi Safdarjung,DSFJ,Delhi,Delhi,28.578,77.208
Sewa Nagar,SWNR,Delhi,Delhi,28.585,77.225
Barar Square,BRSQ,Delhi,Delhi,28.569,77.258
Delhi Kishanganj,DKJ,Delhi,Delhi,28.688,77.202
Adarsh Nagar Delhi,ANVR,Delhi,Delhi,28.713,77.185
Azadpur,AZP,Delhi,Delhi,28.708,77.179
Badli,BHD,Delhi,Delhi,28.715,77.21
Shakur Basti,SSB,Delhi,Delhi,28.679,77.164
Narela,NRL,Delhi,Delhi,28.851,77.095
